date_q,econ_group,Z_group
2011-04-01,Autres,-0.058739863719429214
2011-07-01,Autres,-0.058739863719429214
2011-10-01,Autres,-0.058739863719429214
2012-01-01,Autres,-0.08683491778710346
2012-04-01,Autres,0.708281415406669
2012-07-01,Autres,1.2959801436203604
2012-10-01,Autres,1.7730288989317275
2013-01-01,Autres,-0.06005938045115066
2013-04-01,Autres,-0.06005938045115066
2013-07-01,Autres,0.9879623017242363
2013-10-01,Autres,-0.03744793554644025
2014-01-01,Autres,0.7965532843269753
2014-04-01,Autres,-0.003848320266698671
2014-07-01,Autres,-1.0410219134641492
2014-10-01,Autres,0.5359895084190187
2015-01-01,Autres,-0.8184735549708604
2015-04-01,Autres,-0.052989596544433304
2015-07-01,Autres,1.731051113220162
2015-10-01,Autres,-0.020634948115168035
2016-01-01,Autres,1.7496619483158973
2016-04-01,Autres,-0.008212562776366453
2016-07-01,Autres,-0.8048401985921818
2016-10-01,Autres,-0.7681824571896508
2017-01-01,Autres,-0.9670419920386785
2017-04-01,Autres,-0.75213394350993
2017-07-01,Autres,-1.4461994147287172
2017-10-01,Autres,-1.8611797092816367
2018-01-01,Autres,0.5984330338137485
2018-04-01,Autres,-0.7647448972428301
2018-07-01,Autres,-0.7439192025909628
2018-10-01,Autres,-0.09507695862483379
2019-01-01,Autres,-0.7184268129128593
2019-04-01,Autres,-0.702409632922981
2019-07-01,Autres,0.5080276652072981
2019-10-01,Autres,-0.09572987923663084
2020-01-01,Autres,1.2034844962318274
2020-04-01,Autres,1.2057883578986133
2020-07-01,Autres,1.2946953767688185
2020-10-01,Autres,0.17433589877474032
2021-01-01,Autres,0.006642558342812317
2021-04-01,Autres,-1.7587578954474834
2021-07-01,Autres,-1.9274355237981844
2021-10-01,Autres,-0.9222763961194721
2022-01-01,Autres,-2.0613894478213615
2022-04-01,Autres,-2.076031554560125
2022-07-01,Autres,-0.7570329337379582
2022-10-01,Autres,-0.5960535030749697
2023-01-01,Autres,-0.09939171232572859
2023-04-01,Autres,0.4016320787148502
2023-07-01,Autres,-0.09216568488836792
2023-10-01,Autres,-0.09216568488836792
2024-01-01,Autres,0.3999149465115408
2011-01-01,Construction & immobilier,-0.058739863719429214
2011-04-01,Construction & immobilier,-2.0549361883329627
2011-07-01,Construction & immobilier,-0.0607266778453282
2011-10-01,Construction & immobilier,-0.05755552415986856
2012-01-01,Construction & immobilier,-0.07041276491746735
2012-04-01,Construction & immobilier,-0.4963427435637086
2012-07-01,Construction & immobilier,-0.4363875289554561
2012-10-01,Construction & immobilier,0.0036488638783111014
2013-01-01,Construction & immobilier,-0.0015236268071997256
2013-04-01,Construction & immobilier,-0.6916028588903491
2013-07-01,Construction & immobilier,-0.6754957842306685
2013-10-01,Construction & immobilier,-0.03480519515388216
2014-01-01,Construction & immobilier,-0.03480519515388216
2014-04-01,Construction & immobilier,-0.35128291884091273
2014-07-01,Construction & immobilier,-0.3523289392797257
2014-10-01,Construction & immobilier,-0.4351726102864941
2015-01-01,Construction & immobilier,-0.09681784452954927
2015-04-01,Construction & immobilier,-0.42131230968979955
2015-07-01,Construction & immobilier,-0.051964789693624946
2015-10-01,Construction & immobilier,-0.561223608229497
2016-01-01,Construction & immobilier,-0.00530758476900883
2016-04-01,Construction & immobilier,-0.26219496893021155
2016-07-01,Construction & immobilier,-0.7940280232462729
2016-10-01,Construction & immobilier,-0.33552658117736595
2017-01-01,Construction & immobilier,-0.05319252989862703
2017-04-01,Construction & immobilier,0.09976125283989427
2017-07-01,Construction & immobilier,-0.3822565681555922
2017-10-01,Construction & immobilier,0.0815236790619991
2018-01-01,Construction & immobilier,-0.0837308475409717
2018-04-01,Construction & immobilier,-0.08406042288793336
2018-07-01,Construction & immobilier,0.5363869297003131
2018-10-01,Construction & immobilier,-0.07120163361102795
2019-01-01,Construction & immobilier,-0.2266543606453669
2019-04-01,Construction & immobilier,-0.48963801991588873
2019-07-01,Construction & immobilier,0.25875266227567295
2019-10-01,Construction & immobilier,0.39196286174400347
2020-01-01,Construction & immobilier,1.3396899097002084
2020-04-01,Construction & immobilier,0.5416689103225296
2020-07-01,Construction & immobilier,0.09775199340134577
2020-10-01,Construction & immobilier,0.19036870999230304
2021-01-01,Construction & immobilier,-0.05107829969786052
2021-04-01,Construction & immobilier,-0.494896039244127
2021-07-01,Construction & immobilier,-0.7911055914557238
2021-10-01,Construction & immobilier,-0.8883154977467392
2022-01-01,Construction & immobilier,-0.12944123427408502
2022-04-01,Construction & immobilier,-0.28033546919620783
2022-07-01,Construction & immobilier,-0.15373866069199957
2022-10-01,Construction & immobilier,-0.2680968863663285
2023-01-01,Construction & immobilier,-0.46231140182416425
2023-04-01,Construction & immobilier,0.01065029092545707
2023-07-01,Construction & immobilier,0.012482835933480513
2023-10-01,Construction & immobilier,0.011941721012197384
2024-01-01,Construction & immobilier,-0.07652208607149306
2011-01-01,Finance,-2.5141115260568205
2011-04-01,Finance,-0.5866570478570658
2011-07-01,Finance,-0.3617299426824439
2011-10-01,Finance,-0.26292837723446966
2012-01-01,Finance,-0.2561608278339022
2012-04-01,Finance,0.1723003539989364
2012-07-01,Finance,0.6880717911243179
2012-10-01,Finance,0.04191497157787283
2013-01-01,Finance,-1.3282949791128982
2013-04-01,Finance,-1.2074740854655077
2013-07-01,Finance,-1.1815437968516214
2013-10-01,Finance,-1.9543314402746745
2014-01-01,Finance,-1.8835260717118416
2014-04-01,Finance,-1.1695715774507673
2014-07-01,Finance,-0.5688227963586947
2014-10-01,Finance,-0.8208791556284344
2015-01-01,Finance,-0.9074230790923106
2015-04-01,Finance,-0.2727480143203824
2015-07-01,Finance,-1.164074770878391
2015-10-01,Finance,-0.540808746118041
2016-01-01,Finance,0.06671735197785862
2016-04-01,Finance,0.04218800036403499
2016-07-01,Finance,0.2533438349891792
2016-10-01,Finance,-0.036590710138450756
2017-01-01,Finance,-0.6728732783223453
2017-04-01,Finance,-0.5245956418674463
2017-07-01,Finance,-0.1927712385941924
2017-10-01,Finance,-0.8748729851482064
2018-01-01,Finance,0.06138552772384509
2018-04-01,Finance,-0.3893226725367395
2018-07-01,Finance,-0.21634204439271643
2018-10-01,Finance,-0.21062427066097236
2019-01-01,Finance,0.09270058768441325
2019-04-01,Finance,0.359603659466379
2019-07-01,Finance,-0.03577758230307438
2019-10-01,Finance,0.6596674251530558
2020-01-01,Finance,0.926042267786844
2020-04-01,Finance,1.2166977870291855
2020-07-01,Finance,0.5619292188712919
2020-10-01,Finance,-0.15137647073199442
2021-01-01,Finance,-0.6521280002203684
2021-04-01,Finance,-0.6094094909385025
2021-07-01,Finance,-0.8820641887289761
2021-10-01,Finance,-1.2007766815811662
2022-01-01,Finance,-1.0068364860986911
2022-04-01,Finance,-0.28564279735804093
2022-07-01,Finance,-0.056625114250969
2022-10-01,Finance,-0.23284192101713094
2023-01-01,Finance,0.23932985988830832
2023-04-01,Finance,0.059026204927781024
2023-07-01,Finance,0.2419106235366689
2023-10-01,Finance,0.12243737337244613
2024-01-01,Finance,0.2601332048452839
2011-01-01,Industrie,-0.0764905965116896
2011-04-01,Industrie,-0.08149649599097843
2011-07-01,Industrie,-0.11298838772632835
2011-10-01,Industrie,-0.31598981272166576
2012-01-01,Industrie,-0.39966825576723214
2012-04-01,Industrie,-0.38593347119275645
2012-07-01,Industrie,0.43541985344058814
2012-10-01,Industrie,-0.3538401232323729
2013-01-01,Industrie,-0.554346099209155
2013-04-01,Industrie,-0.8616897792712749
2013-07-01,Industrie,-0.34474528915862307
2013-10-01,Industrie,-0.917004367977793
2014-01-01,Industrie,-0.8778093909854103
2014-04-01,Industrie,-0.4703930971725094
2014-07-01,Industrie,-0.8909592890852096
2014-10-01,Industrie,-0.8436847985051861
2015-01-01,Industrie,0.9931749023618003
2015-04-01,Industrie,0.7835137007780631
2015-07-01,Industrie,-0.11327811458765864
2015-10-01,Industrie,0.5728471452681662
2016-01-01,Industrie,1.2647140441748614
2016-04-01,Industrie,-0.2968637783652736
2016-07-01,Industrie,0.6618754330043368
2016-10-01,Industrie,-0.43519835529681233
2017-01-01,Industrie,-0.006805590098021286
2017-04-01,Industrie,-0.7030118876660825
2017-07-01,Industrie,-0.08286890074008128
2017-10-01,Industrie,-0.754411293806255
2018-01-01,Industrie,-0.1185418055058023
2018-04-01,Industrie,0.15101070382246803
2018-07-01,Industrie,-0.3857523806672422
2018-10-01,Industrie,-0.8584504902049397
2019-01-01,Industrie,-0.04691867470115766
2019-04-01,Industrie,-0.04584263771419834
2019-07-01,Industrie,0.12421699645064482
2019-10-01,Industrie,0.64894795773903
2020-01-01,Industrie,1.5530539962097087
2020-04-01,Industrie,0.5529499359122485
2020-07-01,Industrie,0.09373350076324143
2020-10-01,Industrie,0.4412890793131791
2021-01-01,Industrie,0.07848230855313831
2021-04-01,Industrie,-0.04830297567467531
2021-07-01,Industrie,-0.7608194882726073
2021-10-01,Industrie,-0.8803693661963289
2022-01-01,Industrie,-1.1866452210858014
2022-04-01,Industrie,-0.8028369586357885
2022-07-01,Industrie,-1.0584758232487632
2022-10-01,Industrie,-0.4772078842808634
2023-01-01,Industrie,-0.12243694952641171
2023-04-01,Industrie,-0.12006430470381751
2023-07-01,Industrie,0.0742321773205164
2023-10-01,Industrie,-0.12055708125723286
2024-01-01,Industrie,0.12509233164000014
2011-04-01,Primaires & énergie,-0.2757694342614058
2011-07-01,Primaires & énergie,-0.33093277182127745
2011-10-01,Primaires & énergie,-0.321165926496763
2012-01-01,Primaires & énergie,-0.33067906496965455
2012-04-01,Primaires & énergie,-0.6015149302903343
2012-07-01,Primaires & énergie,-0.030079324540989938
2012-10-01,Primaires & énergie,0.06936200089896997
2013-01-01,Primaires & énergie,-0.5146120790746075
2013-04-01,Primaires & énergie,0.10896146306128214
2013-07-01,Primaires & énergie,0.8174112860972458
2013-10-01,Primaires & énergie,-0.4651805761866732
2014-01-01,Primaires & énergie,0.6047609614054005
2014-04-01,Primaires & énergie,-0.43302511977268904
2014-07-01,Primaires & énergie,0.14887379606694365
2014-10-01,Primaires & énergie,0.4550381753182709
2015-01-01,Primaires & énergie,0.8708313385624468
2015-04-01,Primaires & énergie,1.0472854126727613
2015-07-01,Primaires & énergie,1.6077320192915094
2015-10-01,Primaires & énergie,0.9320128247465429
2016-01-01,Primaires & énergie,0.9456466630617607
2016-04-01,Primaires & énergie,-0.006492475902733978
2016-07-01,Primaires & énergie,1.0526158794691172
2016-10-01,Primaires & énergie,0.6295352444827248
2017-01-01,Primaires & énergie,-0.7910727220365082
2017-04-01,Primaires & énergie,-1.0901419070278364
2017-07-01,Primaires & énergie,-0.06021484373719906
2017-10-01,Primaires & énergie,-1.698675870167803
2018-01-01,Primaires & énergie,-0.4194021004740837
2018-04-01,Primaires & énergie,-0.7109485999002727
2018-07-01,Primaires & énergie,-0.08088099380992338
2018-10-01,Primaires & énergie,-0.8336305856434058
2019-01-01,Primaires & énergie,0.22805728452110055
2019-04-01,Primaires & énergie,0.13207129310207003
2019-07-01,Primaires & énergie,0.5900431349426524
2019-10-01,Primaires & énergie,0.7783369060128145
2020-01-01,Primaires & énergie,0.641788630516578
2020-04-01,Primaires & énergie,2.2428215946935235
2020-07-01,Primaires & énergie,0.8549582106704031
2020-10-01,Primaires & énergie,-0.25191259545169536
2021-01-01,Primaires & énergie,-0.3280247007161206
2021-04-01,Primaires & énergie,-1.3515461019746422
2021-07-01,Primaires & énergie,-1.2551462233350266
2021-10-01,Primaires & énergie,-1.4165854801443771
2022-01-01,Primaires & énergie,-0.8483848806595171
2022-04-01,Primaires & énergie,-0.8984941921535077
2022-07-01,Primaires & énergie,-0.869855886359324
2022-10-01,Primaires & énergie,-0.9674007119812299
2023-01-01,Primaires & énergie,-0.23843178448754743
2023-04-01,Primaires & énergie,-0.09883293962100433
2023-07-01,Primaires & énergie,-0.09838339219350882
2023-10-01,Primaires & énergie,0.23934341129415418
2024-01-01,Primaires & énergie,-0.09077639618304616
2011-01-01,Public & services non-marchands,-0.4571588032597735
2011-04-01,Public & services non-marchands,-0.2408234301092466
2011-07-01,Public & services non-marchands,-0.2619318868093318
2011-10-01,Public & services non-marchands,-0.173038575079744
2012-01-01,Public & services non-marchands,-0.1557845412691391
2012-04-01,Public & services non-marchands,0.12726100740396687
2012-07-01,Public & services non-marchands,0.5697641177763485
2012-10-01,Public & services non-marchands,0.25774538288905385
2013-01-01,Public & services non-marchands,-0.16661485482877367
2013-04-01,Public & services non-marchands,0.6133730139696939
2013-07-01,Public & services non-marchands,0.434648196155442
2013-10-01,Public & services non-marchands,-0.15152563570920197
2014-01-01,Public & services non-marchands,-0.3216216203404256
2014-04-01,Public & services non-marchands,-0.7583422209170149
2014-07-01,Public & services non-marchands,0.38086762967012416
2014-10-01,Public & services non-marchands,-0.3973064831720379
2015-01-01,Public & services non-marchands,-0.4502634938315728
2015-04-01,Public & services non-marchands,-0.14015723074161926
2015-07-01,Public & services non-marchands,-0.4577086656728528
2015-10-01,Public & services non-marchands,0.10691718250868776
2016-01-01,Public & services non-marchands,-0.4285932214588213
2016-04-01,Public & services non-marchands,-0.18868611492125006
2016-07-01,Public & services non-marchands,0.07645196025677886
2016-10-01,Public & services non-marchands,-0.1210262019689383
2017-01-01,Public & services non-marchands,-0.12290654706653341
2017-04-01,Public & services non-marchands,0.3271918712839648
2017-07-01,Public & services non-marchands,0.461667262518076
2017-10-01,Public & services non-marchands,0.0781292326304417
2018-01-01,Public & services non-marchands,0.0036829263831608303
2018-04-01,Public & services non-marchands,-0.09800413946778123
2018-07-01,Public & services non-marchands,0.10172343510939863
2018-10-01,Public & services non-marchands,-0.08719960279554632
2019-01-01,Public & services non-marchands,-0.04756504755074309
2019-04-01,Public & services non-marchands,0.3765336067886671
2019-07-01,Public & services non-marchands,0.20879940865067223
2019-10-01,Public & services non-marchands,0.7109848517645917
2020-01-01,Public & services non-marchands,0.8916213294963624
2020-04-01,Public & services non-marchands,1.319026411233561
2020-07-01,Public & services non-marchands,0.5925168538582932
2020-10-01,Public & services non-marchands,0.41922819087534097
2021-01-01,Public & services non-marchands,-0.02837590332028972
2021-04-01,Public & services non-marchands,-0.01611287250567293
2021-07-01,Public & services non-marchands,-0.42055630542933015
2021-10-01,Public & services non-marchands,-0.5040810914611328
2022-01-01,Public & services non-marchands,-0.3468984688710918
2022-04-01,Public & services non-marchands,-0.21120851562377266
2022-07-01,Public & services non-marchands,0.5549365657659312
2022-10-01,Public & services non-marchands,0.32824634363224914
2023-01-01,Public & services non-marchands,0.03325763636529369
2023-04-01,Public & services non-marchands,0.10305681392863726
2023-07-01,Public & services non-marchands,0.33080747628318236
2023-10-01,Public & services non-marchands,0.4910704012219999
2024-01-01,Public & services non-marchands,0.3693395965691755
2011-04-01,Services marchands,-0.14962093826110598
2011-07-01,Services marchands,-0.141459225958414
2011-10-01,Services marchands,-0.12871455911910748
2012-01-01,Services marchands,-0.1378649467614267
2012-04-01,Services marchands,-0.15435148480375221
2012-07-01,Services marchands,0.027137613945041623
2012-10-01,Services marchands,0.19465041776801703
2013-01-01,Services marchands,0.1597452499552896
2013-04-01,Services marchands,-0.8768370247818482
2013-07-01,Services marchands,-0.6641483722562486
2013-10-01,Services marchands,-0.21678575944370063
2014-01-01,Services marchands,-1.4264660510249971
2014-04-01,Services marchands,-0.6811924013138363
2014-07-01,Services marchands,-0.3633962803001101
2014-10-01,Services marchands,0.22803454201438425
2015-01-01,Services marchands,-0.6692221651410358
2015-04-01,Services marchands,-0.32758698315576584
2015-07-01,Services marchands,-0.21202123221149616
2015-10-01,Services marchands,0.09346914225228642
2016-01-01,Services marchands,0.6513128024788298
2016-04-01,Services marchands,0.0746481991291905
2016-07-01,Services marchands,0.16236085453322963
2016-10-01,Services marchands,-0.11610955879227487
2017-01-01,Services marchands,-0.26716676544382234
2017-04-01,Services marchands,0.47573135755371715
2017-07-01,Services marchands,0.24473757012075947
2017-10-01,Services marchands,-0.4538438841267464
2018-01-01,Services marchands,-0.056317590902723445
2018-04-01,Services marchands,-0.4574513062019459
2018-07-01,Services marchands,-0.16696052505826844
2018-10-01,Services marchands,-0.30034316479969064
2019-01-01,Services marchands,0.36523690351343574
2019-04-01,Services marchands,0.153211034746046
2019-07-01,Services marchands,0.7073283987901936
2019-10-01,Services marchands,1.015206581101742
2020-01-01,Services marchands,1.6673723486289793
2020-04-01,Services marchands,1.19302140990837
2020-07-01,Services marchands,1.0037471996380802
2020-10-01,Services marchands,0.07622982957859299
2021-01-01,Services marchands,-0.555943418676549
2021-04-01,Services marchands,0.09159795987997127
2021-07-01,Services marchands,-0.8270098020192819
2021-10-01,Services marchands,-1.1802349528922027
2022-01-01,Services marchands,-1.3254833661836682
2022-04-01,Services marchands,-0.3493080025812079
2022-07-01,Services marchands,-0.2918362921157622
2022-10-01,Services marchands,-0.1036319627398804
2023-01-01,Services marchands,0.07134286123895571
2023-04-01,Services marchands,0.011657578298153566
2023-07-01,Services marchands,-0.04199047314074744
2023-10-01,Services marchands,0.04343769268082063
2024-01-01,Services marchands,0.26866902482624205
2011-01-01,Services pro,0.03870691334892394
2011-04-01,Services pro,0.1707050308115078
2011-07-01,Services pro,0.060635041751337465
2011-10-01,Services pro,-0.5534793503186325
2012-01-01,Services pro,-0.16003344774776948
2012-04-01,Services pro,0.0034908745759560933
2012-07-01,Services pro,0.34340241908239566
2012-10-01,Services pro,0.16620993167757794
2013-01-01,Services pro,-0.7885327286259088
2013-04-01,Services pro,-0.5289388489715067
2013-07-01,Services pro,-0.6564886896853827
2013-10-01,Services pro,-0.9076593353045671
2014-01-01,Services pro,-0.7211978592093389
2014-04-01,Services pro,-0.5496697718424411
2014-07-01,Services pro,-0.5880554260596921
2014-10-01,Services pro,0.04280390956212828
2015-01-01,Services pro,-0.007812986545503739
2015-04-01,Services pro,-0.406050328811521
2015-07-01,Services pro,0.6035245422207646
2015-10-01,Services pro,0.871300380255203
2016-01-01,Services pro,0.3349867028912595
2016-04-01,Services pro,-0.23276550174829905
2016-07-01,Services pro,-0.5906963182170338
2016-10-01,Services pro,-0.09906122598958907
2017-01-01,Services pro,-0.309480091529829
2017-04-01,Services pro,-0.36232774740143886
2017-07-01,Services pro,-0.33431835569245744
2017-10-01,Services pro,-0.23089610235176206
2018-01-01,Services pro,-0.38096794530626293
2018-04-01,Services pro,-0.07910039190317539
2018-07-01,Services pro,0.16847464096856926
2018-10-01,Services pro,0.2755983038276408
2019-01-01,Services pro,0.3041315365133371
2019-04-01,Services pro,0.00990697003092141
2019-07-01,Services pro,0.6663041110140688
2019-10-01,Services pro,0.6720202332977872
2020-01-01,Services pro,1.1719521757783748
2020-04-01,Services pro,1.2358525424859075
2020-07-01,Services pro,0.3479209955420446
2020-10-01,Services pro,-0.1157916815541377
2021-01-01,Services pro,0.44392163208805635
2021-04-01,Services pro,0.08075582944901524
2021-07-01,Services pro,-0.9449104548785786
2021-10-01,Services pro,-0.5279376216789118
2022-01-01,Services pro,-0.4349888516480343
2022-04-01,Services pro,-0.509547604714166
2022-07-01,Services pro,-0.7944553989165599
2022-10-01,Services pro,-0.05830476851917806
2023-01-01,Services pro,-0.09923401909388474
2023-04-01,Services pro,-0.10001052290542174
2023-07-01,Services pro,-0.05000834219559919
2023-10-01,Services pro,0.3361800566100632
2024-01-01,Services pro,0.32321379213446305
2011-01-01,Transport & info-com,-0.058739863719429214
2011-04-01,Transport & info-com,-0.03919980062431353
2011-07-01,Transport & info-com,-0.050156675158488616
2011-10-01,Transport & info-com,-0.04196671132068345
2012-01-01,Transport & info-com,-0.03641344356319759
2012-04-01,Transport & info-com,-0.08369066186037417
2012-07-01,Transport & info-com,0.20933482333051556
2012-10-01,Transport & info-com,0.5138322056111272
2013-01-01,Transport & info-com,-0.6613932277685953
2013-04-01,Transport & info-com,-0.06769597924132685
2013-07-01,Transport & info-com,-0.6869648162434304
2013-10-01,Transport & info-com,0.10368189715756022
2014-01-01,Transport & info-com,-0.8173240817153098
2014-04-01,Transport & info-com,0.6542240188385219
2014-07-01,Transport & info-com,-0.8891968708107671
2014-10-01,Transport & info-com,-0.5908799724352414
2015-01-01,Transport & info-com,-0.7007736112961386
2015-04-01,Transport & info-com,-0.500564479759886
2015-07-01,Transport & info-com,-0.3858486738323605
2015-10-01,Transport & info-com,0.11908554591993419
2016-01-01,Transport & info-com,0.29605193530237517
2016-04-01,Transport & info-com,-0.6627752212597443
2016-07-01,Transport & info-com,0.4201978039501997
2016-10-01,Transport & info-com,0.6627203105557992
2017-01-01,Transport & info-com,0.5915721084366913
2017-04-01,Transport & info-com,0.7610680633575705
2017-07-01,Transport & info-com,-0.2093058578474758
2017-10-01,Transport & info-com,0.02109982186380736
2018-01-01,Transport & info-com,-0.3639279221429446
2018-04-01,Transport & info-com,-0.4027712871876934
2018-07-01,Transport & info-com,-0.5356115520367584
2018-10-01,Transport & info-com,0.5815980427273718
2019-01-01,Transport & info-com,0.29504366830858797
2019-04-01,Transport & info-com,0.8024740875402349
2019-07-01,Transport & info-com,0.6487332769782989
2019-10-01,Transport & info-com,0.8680051064467262
2020-01-01,Transport & info-com,1.3636819825341926
2020-04-01,Transport & info-com,1.5819433701907857
2020-07-01,Transport & info-com,0.9169445890498289
2020-10-01,Transport & info-com,0.7485121139925481
2021-01-01,Transport & info-com,-0.08936788479844078
2021-04-01,Transport & info-com,0.10204457915672638
2021-07-01,Transport & info-com,-0.44702315717891644
2021-10-01,Transport & info-com,-0.4947655283082399
2022-01-01,Transport & info-com,-0.5787218056081688
2022-04-01,Transport & info-com,-0.7253021934772157
2022-07-01,Transport & info-com,-0.3619105199149872
2022-10-01,Transport & info-com,-0.362126342664812
2023-01-01,Transport & info-com,-0.1399668708059754
2023-04-01,Transport & info-com,0.12037687494606786
2023-07-01,Transport & info-com,0.20685736188036716
2023-10-01,Transport & info-com,0.12064598796845867
2024-01-01,Transport & info-com,0.31636548923999824
